Date,Pest,Life_Cycle_Stage,Crop_Affected,State,Infestation_Level
2023-09-04,Corn Rootworm,Pupa,Wheat,Illinois,High
2023-09-04,Armyworms,Adult,Corn,Illinois,High
2023-09-04,Aphids,Egg,Wheat,Nebraska,High
2023-09-05,Corn Rootworm,Pupa,Cotton,California,Low
2023-09-06,Cutworms,Adult,Wheat,California,Low
2023-09-06,Armyworms,Pupa,Wheat,Iowa,High
2023-09-07,Japanese Beetle,Larva,Rice,Texas,Low
2023-09-08,Cutworms,Egg,Wheat,Iowa,High
2023-09-08,Aphids,Larva,Soybeans,Texas,Low
2023-09-08,Japanese Beetle,Pupa,Cotton,California,Low
2023-09-08,Armyworms,Larva,Corn,Iowa,Medium
2023-09-09,Corn Rootworm,Adult,Wheat,Iowa,Medium
2023-09-09,Japanese Beetle,Adult,Wheat,California,Low
2023-09-09,Japanese Beetle,Pupa,Cotton,Texas,Medium
2023-09-09,Aphids,Egg,Corn,Illinois,High
2023-09-10,Corn Rootworm,Larva,Wheat,California,Low
2023-09-10,Corn Rootworm,Pupa,Corn,Texas,Low
2023-09-10,Corn Rootworm,Pupa,Soybeans,California,Low
2023-09-10,Corn Rootworm,Egg,Corn,Nebraska,High
2023-09-11,Cutworms,Egg,Wheat,California,Medium
2023-09-12,Armyworms,Larva,Wheat,Illinois,Medium
2023-09-13,Japanese Beetle,Adult,Soybeans,Texas,Medium
2023-09-14,Japanese Beetle,Larva,Corn,Illinois,High
2023-09-15,Aphids,Adult,Rice,Texas,High
2023-09-15,Armyworms,Egg,Rice,Texas,Low
2023-09-16,Aphids,Egg,Cotton,Illinois,Low
2023-09-16,Armyworms,Adult,Cotton,Illinois,Low
2023-09-17,Cutworms,Larva,Cotton,Iowa,Low
2023-09-19,Armyworms,Pupa,Corn,Iowa,High
2023-09-19,Corn Rootworm,Pupa,Wheat,Nebraska,High
2023-09-19,Japanese Beetle,Larva,Corn,Texas,High
2023-09-19,Armyworms,Pupa,Wheat,California,High
2023-09-19,Armyworms,Larva,Cotton,Texas,Medium
2023-09-19,Cutworms,Egg,Cotton,Texas,Medium
2023-09-20,Cutworms,Egg,Soybeans,Iowa,High
2023-09-20,Armyworms,Larva,Soybeans,California,Low
2023-09-21,Cutworms,Larva,Corn,Illinois,Medium
2023-09-21,Corn Rootworm,Adult,Wheat,Texas,Medium
2023-09-22,Cutworms,Egg,Cotton,Nebraska,High
2023-09-22,Corn Rootworm,Egg,Corn,Texas,Low
2023-09-23,Armyworms,Adult,Cotton,Nebraska,Medium
2023-09-23,Cutworms,Larva,Wheat,Nebraska,Medium
2023-09-23,Cutworms,Pupa,Rice,Illinois,Medium
2023-09-24,Japanese Beetle,Egg,Rice,California,Medium
2023-09-24,Armyworms,Pupa,Cotton,Iowa,High
2023-09-24,Armyworms,Egg,Wheat,California,High
2023-09-24,Japanese Beetle,Larva,Rice,Texas,Low
2023-09-25,Cutworms,Pupa,Cotton,Texas,High
2023-09-25,Corn Rootworm,Larva,Rice,California,High
2023-09-25,Aphids,Larva,Rice,Iowa,High
2023-09-25,Cutworms,Pupa,Soybeans,Texas,Medium
2023-09-25,Armyworms,Pupa,Wheat,California,Low
2023-09-26,Armyworms,Larva,Cotton,Iowa,High
2023-09-26,Cutworms,Pupa,Rice,Illinois,Medium
2023-09-26,Cutworms,Egg,Wheat,Iowa,Medium
2023-09-26,Cutworms,Larva,Soybeans,Texas,Medium
2023-09-26,Cutworms,Larva,Rice,California,Medium
2023-09-27,Armyworms,Egg,Cotton,Illinois,Low
2023-09-27,Corn Rootworm,Pupa,Cotton,Illinois,High
2023-09-27,Cutworms,Larva,Wheat,Nebraska,High
2023-09-27,Armyworms,Pupa,Wheat,Texas,Low
2023-09-27,Aphids,Larva,Rice,Iowa,Low
2023-09-28,Aphids,Pupa,Cotton,Nebraska,Low
2023-09-28,Japanese Beetle,Pupa,Cotton,California,Low
2023-09-28,Japanese Beetle,Adult,Soybeans,Iowa,High
2023-09-28,Japanese Beetle,Pupa,Soybeans,Iowa,High
2023-09-29,Armyworms,Egg,Corn,Nebraska,High
2023-09-30,Japanese Beetle,Egg,Corn,Illinois,Medium
2023-09-30,Aphids,Larva,Cotton,California,High
2023-10-01,Aphids,Larva,Rice,California,Medium
2023-10-01,Corn Rootworm,Adult,Cotton,Iowa,Medium
2023-10-01,Corn Rootworm,Adult,Corn,Nebraska,Low
2023-10-01,Corn Rootworm,Pupa,Soybeans,Iowa,High
2023-10-01,Cutworms,Pupa,Wheat,Iowa,High
2023-10-02,Aphids,Egg,Rice,Illinois,High
2023-10-02,Corn Rootworm,Adult,Soybeans,Illinois,Medium
2023-10-02,Cutworms,Adult,Cotton,Nebraska,Medium
2023-10-03,Cutworms,Egg,Soybeans,Illinois,High
2023-10-03,Corn Rootworm,Adult,Soybeans,Illinois,High
2023-10-03,Cutworms,Pupa,Corn,Nebraska,Low
2023-10-04,Armyworms,Egg,Wheat,Nebraska,Medium
2023-10-04,Cutworms,Egg,Corn,Nebraska,High
2023-10-04,Armyworms,Adult,Cotton,Texas,Low
2023-10-05,Cutworms,Larva,Rice,Texas,Medium
2023-10-05,Armyworms,Pupa,Wheat,Nebraska,Low
2023-10-06,Aphids,Larva,Wheat,Illinois,High
2023-10-06,Aphids,Pupa,Soybeans,Illinois,Medium
2023-10-07,Armyworms,Larva,Soybeans,Illinois,Low
2023-10-08,Japanese Beetle,Larva,Cotton,Texas,High
2023-10-08,Japanese Beetle,Egg,Corn,Illinois,Low
2023-10-08,Cutworms,Egg,Soybeans,Illinois,Low
2023-10-09,Japanese Beetle,Larva,Rice,California,High
2023-10-09,Corn Rootworm,Larva,Wheat,Illinois,High
2023-10-09,Cutworms,Larva,Cotton,Nebraska,Medium
2023-10-09,Aphids,Larva,Corn,Iowa,Medium
2023-10-09,Corn Rootworm,Adult,Cotton,Texas,Low
2023-10-10,Corn Rootworm,Adult,Wheat,Illinois,Medium
2023-10-10,Japanese Beetle,Egg,Corn,California,Low
2023-10-10,Aphids,Larva,Corn,Nebraska,Medium
2023-10-10,Armyworms,Pupa,Corn,California,Low
2023-10-11,Cutworms,Pupa,Cotton,California,High
2023-10-12,Japanese Beetle,Larva,Corn,Iowa,Medium
2023-10-12,Cutworms,Egg,Corn,California,High
2023-10-12,Corn Rootworm,Adult,Soybeans,Nebraska,Low
2023-10-12,Japanese Beetle,Adult,Corn,Iowa,High
2023-10-13,Corn Rootworm,Larva,Cotton,Illinois,Medium
2023-10-13,Corn Rootworm,Pupa,Cotton,Texas,Medium
2023-10-14,Japanese Beetle,Larva,Rice,Illinois,High
2023-10-15,Corn Rootworm,Larva,Rice,Illinois,Medium
2023-10-16,Cutworms,Larva,Wheat,California,Medium
2023-10-16,Aphids,Pupa,Rice,Nebraska,Medium
2023-10-16,Aphids,Larva,Corn,Illinois,Low
2023-10-16,Aphids,Egg,Rice,Illinois,Low
2023-10-16,Cutworms,Pupa,Corn,Nebraska,Low
2023-10-16,Cutworms,Larva,Corn,Iowa,High
2023-10-17,Armyworms,Egg,Wheat,Iowa,Low
2023-10-17,Corn Rootworm,Adult,Wheat,Nebraska,Medium
2023-10-17,Cutworms,Egg,Cotton,Nebraska,Low
2023-10-18,Japanese Beetle,Adult,Corn,Iowa,Medium
2023-10-19,Corn Rootworm,Adult,Soybeans,Nebraska,Low
2023-10-19,Corn Rootworm,Egg,Soybeans,Texas,High
2023-10-20,Aphids,Adult,Soybeans,Iowa,Medium
2023-10-20,Armyworms,Pupa,Soybeans,Illinois,Low
2023-10-20,Cutworms,Larva,Cotton,California,Medium
2023-10-20,Cutworms,Larva,Rice,Iowa,High
2023-10-21,Aphids,Larva,Wheat,California,Medium
2023-10-21,Armyworms,Egg,Rice,Iowa,Low
2023-10-21,Aphids,Larva,Rice,California,Low
2023-10-21,Armyworms,Pupa,Rice,Illinois,Medium
2023-10-22,Japanese Beetle,Egg,Cotton,Iowa,Medium
2023-10-22,Corn Rootworm,Egg,Cotton,Nebraska,High
2023-10-22,Corn Rootworm,Adult,Wheat,California,High
2023-10-22,Aphids,Egg,Soybeans,California,High
2023-10-22,Aphids,Adult,Rice,Texas,Low
2023-10-23,Armyworms,Egg,Rice,Texas,Medium
2023-10-23,Armyworms,Pupa,Rice,Iowa,Low
2023-10-23,Japanese Beetle,Pupa,Corn,Illinois,Low
2023-10-23,Japanese Beetle,Adult,Soybeans,Nebraska,Low
2023-10-24,Aphids,Egg,Rice,Texas,Low
2023-10-24,Aphids,Pupa,Cotton,Illinois,High
2023-10-24,Cutworms,Larva,Rice,Illinois,High
2023-10-25,Armyworms,Pupa,Wheat,Iowa,High
2023-10-25,Corn Rootworm,Egg,Cotton,Iowa,Medium
2023-10-25,Corn Rootworm,Adult,Corn,Iowa,High
2023-10-26,Corn Rootworm,Egg,Soybeans,Texas,Low
2023-10-26,Aphids,Pupa,Rice,Nebraska,Low
2023-10-26,Armyworms,Larva,Rice,Illinois,Low
2023-10-26,Cutworms,Adult,Cotton,Nebraska,Medium
2023-10-27,Aphids,Pupa,Soybeans,Illinois,Low
2023-10-27,Aphids,Larva,Rice,Nebraska,Medium
2023-10-27,Corn Rootworm,Adult,Corn,California,Medium
2023-10-28,Aphids,Adult,Wheat,Nebraska,Medium
2023-10-29,Japanese Beetle,Adult,Corn,Iowa,Medium
2023-10-30,Aphids,Pupa,Rice,Texas,Low
2023-10-30,Armyworms,Adult,Cotton,Nebraska,Medium
2023-10-30,Cutworms,Larva,Cotton,Nebraska,Medium
2023-10-31,Corn Rootworm,Larva,Corn,California,Medium
2023-10-31,Cutworms,Larva,Wheat,Texas,Medium
2023-11-01,Armyworms,Egg,Wheat,Illinois,Low
2023-11-01,Japanese Beetle,Adult,Cotton,Nebraska,Low
2023-11-02,Cutworms,Egg,Wheat,Illinois,Medium
2023-11-02,Armyworms,Larva,Wheat,Nebraska,Low
2023-11-02,Armyworms,Adult,Wheat,Iowa,High
2023-11-03,Aphids,Pupa,Soybeans,Iowa,Medium
2023-11-03,Japanese Beetle,Egg,Soybeans,Nebraska,Low
2023-11-04,Japanese Beetle,Larva,Cotton,Nebraska,High
2023-11-05,Corn Rootworm,Pupa,Corn,Texas,Medium
2023-11-05,Armyworms,Pupa,Corn,Illinois,Medium
2023-11-05,Corn Rootworm,Adult,Rice,California,Medium
2023-11-05,Corn Rootworm,Egg,Cotton,Texas,Medium
2023-11-06,Corn Rootworm,Larva,Cotton,Illinois,Low
2023-11-06,Cutworms,Egg,Soybeans,Illinois,Low
2023-11-07,Corn Rootworm,Adult,Rice,California,Low
2023-11-07,Aphids,Pupa,Soybeans,Iowa,Medium
2023-11-07,Aphids,Adult,Cotton,Nebraska,Medium
2023-11-07,Cutworms,Adult,Rice,Iowa,Low
2023-11-08,Aphids,Larva,Cotton,Texas,High
2023-11-08,Japanese Beetle,Larva,Wheat,Nebraska,Medium
2023-11-08,Cutworms,Larva,Rice,Nebraska,Low
2023-11-08,Armyworms,Larva,Corn,Iowa,High
2023-11-09,Corn Rootworm,Egg,Corn,California,Medium
2023-11-09,Cutworms,Pupa,Cotton,Iowa,Low
2023-11-09,Armyworms,Larva,Soybeans,Nebraska,High
2023-11-09,Japanese Beetle,Larva,Wheat,Illinois,Low
2023-11-09,Corn Rootworm,Larva,Soybeans,Illinois,Medium
2023-11-09,Corn Rootworm,Egg,Soybeans,Texas,Medium
2023-11-10,Armyworms,Adult,Corn,Illinois,Medium
2023-11-10,Corn Rootworm,Larva,Soybeans,Nebraska,Medium
2023-11-11,Japanese Beetle,Egg,Rice,Illinois,Medium
2023-11-11,Japanese Beetle,Adult,Rice,Nebraska,Medium
2023-11-12,Japanese Beetle,Adult,Cotton,Iowa,Low
2023-11-12,Armyworms,Pupa,Corn,Iowa,High
2023-11-12,Corn Rootworm,Adult,Wheat,Texas,Low
2023-11-13,Corn Rootworm,Larva,Cotton,Illinois,High
2023-11-13,Japanese Beetle,Egg,Corn,Nebraska,High
2023-11-13,Cutworms,Pupa,Rice,Nebraska,Low
2023-11-14,Japanese Beetle,Adult,Wheat,Iowa,Low
2023-11-15,Cutworms,Adult,Rice,Texas,Low
2023-11-15,Cutworms,Adult,Rice,Iowa,Medium
2023-11-15,Aphids,Pupa,Cotton,California,Medium
2023-11-15,Corn Rootworm,Adult,Corn,California,High
2023-11-15,Aphids,Adult,Cotton,Texas,High
2023-11-15,Aphids,Pupa,Soybeans,Iowa,Medium
2023-11-15,Armyworms,Pupa,Corn,Iowa,Low
2023-11-16,Armyworms,Pupa,Soybeans,California,Low
2023-11-16,Corn Rootworm,Egg,Wheat,Illinois,Low
2023-11-16,Cutworms,Pupa,Cotton,Iowa,Low
2023-11-17,Corn Rootworm,Adult,Wheat,California,Low
2023-11-17,Japanese Beetle,Larva,Soybeans,Nebraska,Low
2023-11-17,Aphids,Adult,Rice,Illinois,Low
2023-11-18,Corn Rootworm,Larva,Wheat,Nebraska,Low
2023-11-18,Aphids,Egg,Wheat,Illinois,Low
2023-11-18,Corn Rootworm,Adult,Wheat,Iowa,High
2023-11-19,Aphids,Egg,Wheat,California,Medium
2023-11-19,Japanese Beetle,Larva,Corn,Texas,High
2023-11-19,Armyworms,Pupa,Rice,Illinois,High
2023-11-19,Corn Rootworm,Pupa,Soybeans,Nebraska,Medium
2023-11-20,Aphids,Egg,Corn,Illinois,Low
2023-11-20,Japanese Beetle,Larva,Soybeans,Texas,Low
2023-11-20,Armyworms,Egg,Corn,Illinois,Low
2023-11-21,Cutworms,Pupa,Cotton,Texas,Medium
2023-11-21,Cutworms,Larva,Wheat,Illinois,Medium
2023-11-21,Japanese Beetle,Pupa,Corn,Iowa,Medium
2023-11-22,Japanese Beetle,Adult,Wheat,California,High
2023-11-22,Cutworms,Adult,Rice,Nebraska,High
2023-11-22,Cutworms,Pupa,Wheat,California,High
2023-11-22,Armyworms,Pupa,Corn,California,Medium
2023-11-22,Japanese Beetle,Adult,Cotton,Iowa,Low
2023-11-22,Corn Rootworm,Larva,Corn,Illinois,High
2023-11-22,Cutworms,Pupa,Wheat,Illinois,Low
2023-11-22,Armyworms,Egg,Wheat,Iowa,High
2023-11-23,Aphids,Larva,Wheat,Texas,Medium
2023-11-23,Aphids,Pupa,Rice,Nebraska,High
2023-11-23,Corn Rootworm,Adult,Cotton,California,High
2023-11-23,Aphids,Egg,Rice,California,Low
2023-11-23,Japanese Beetle,Pupa,Rice,Illinois,Low
2023-11-24,Corn Rootworm,Adult,Cotton,Iowa,Medium
2023-11-24,Japanese Beetle,Adult,Cotton,Iowa,High
2023-11-25,Cutworms,Adult,Corn,California,High
2023-11-25,Japanese Beetle,Adult,Wheat,Illinois,Low
2023-11-25,Japanese Beetle,Pupa,Wheat,Iowa,Medium
2023-11-26,Corn Rootworm,Adult,Rice,Nebraska,Medium
2023-11-26,Armyworms,Adult,Rice,Iowa,Medium
2023-11-26,Cutworms,Pupa,Corn,Iowa,Medium
2023-11-27,Aphids,Adult,Corn,Nebraska,Low
2023-11-27,Aphids,Adult,Corn,Nebraska,Medium
2023-11-28,Japanese Beetle,Adult,Cotton,Iowa,High
2023-11-28,Japanese Beetle,Adult,Corn,California,Low
2023-11-29,Cutworms,Egg,Rice,Illinois,Low
2023-11-29,Japanese Beetle,Pupa,Cotton,Texas,Medium
2023-11-29,Cutworms,Pupa,Rice,Nebraska,Low
2023-11-30,Armyworms,Larva,Soybeans,California,Low
2023-11-30,Corn Rootworm,Egg,Soybeans,Nebraska,High
2023-11-30,Cutworms,Adult,Cotton,Nebraska,Low
2023-12-01,Cutworms,Pupa,Soybeans,Iowa,High
2023-12-02,Armyworms,Pupa,Cotton,California,Medium
2023-12-02,Cutworms,Larva,Cotton,Illinois,Low
2023-12-02,Armyworms,Adult,Wheat,Iowa,High
2023-12-02,Cutworms,Pupa,Corn,California,Medium
2023-12-02,Corn Rootworm,Pupa,Corn,Texas,Low
2023-12-02,Japanese Beetle,Egg,Wheat,Illinois,Medium
2023-12-03,Cutworms,Pupa,Rice,Texas,High
2023-12-03,Cutworms,Egg,Soybeans,Nebraska,High
2023-12-05,Armyworms,Larva,Corn,Illinois,High
2023-12-06,Japanese Beetle,Adult,Rice,Nebraska,Medium
2023-12-06,Aphids,Adult,Cotton,Iowa,High
2023-12-06,Cutworms,Adult,Cotton,Illinois,Low
2023-12-06,Corn Rootworm,Adult,Cotton,Illinois,High
2023-12-07,Corn Rootworm,Adult,Soybeans,Illinois,High
2023-12-07,Japanese Beetle,Adult,Rice,Texas,Low
2023-12-07,Armyworms,Pupa,Wheat,Iowa,Low
2023-12-08,Aphids,Larva,Corn,Texas,Medium
2023-12-09,Armyworms,Pupa,Corn,Texas,Medium
2023-12-10,Japanese Beetle,Egg,Rice,Texas,Medium
2023-12-10,Aphids,Pupa,Soybeans,Iowa,Low
2023-12-10,Corn Rootworm,Adult,Rice,Illinois,High
2023-12-10,Aphids,Egg,Corn,California,Medium
2023-12-11,Aphids,Adult,Corn,Illinois,Low
2023-12-11,Cutworms,Larva,Corn,California,Medium
2023-12-11,Japanese Beetle,Egg,Soybeans,Illinois,Medium
2023-12-11,Corn Rootworm,Larva,Corn,Texas,High
2023-12-12,Japanese Beetle,Pupa,Corn,Illinois,High
2023-12-12,Cutworms,Egg,Wheat,California,Medium
2023-12-12,Cutworms,Adult,Soybeans,Nebraska,High
2023-12-13,Aphids,Adult,Rice,Nebraska,Low
2023-12-14,Corn Rootworm,Egg,Rice,California,Medium
2023-12-15,Cutworms,Pupa,Wheat,Texas,Medium
2023-12-15,Japanese Beetle,Adult,Wheat,Nebraska,Low
2023-12-16,Aphids,Adult,Wheat,Iowa,Low
2023-12-17,Corn Rootworm,Pupa,Cotton,Nebraska,Medium
2023-12-17,Cutworms,Larva,Soybeans,Texas,Low
2023-12-17,Cutworms,Pupa,Soybeans,Iowa,Low
2023-12-18,Cutworms,Larva,Rice,Nebraska,Medium
2023-12-18,Japanese Beetle,Pupa,Corn,Iowa,High
2023-12-18,Aphids,Egg,Wheat,Nebraska,High
2023-12-18,Japanese Beetle,Egg,Wheat,Iowa,High
2023-12-18,Aphids,Egg,Corn,Texas,Low
2023-12-19,Corn Rootworm,Pupa,Wheat,Iowa,Medium
2023-12-20,Armyworms,Egg,Corn,Iowa,Low
2023-12-20,Aphids,Egg,Rice,Nebraska,Medium
2023-12-20,Aphids,Adult,Cotton,Texas,Medium
2023-12-20,Japanese Beetle,Pupa,Soybeans,Iowa,Medium
2023-12-21,Cutworms,Larva,Wheat,Illinois,Low
2023-12-21,Japanese Beetle,Egg,Corn,Iowa,High
2023-12-21,Aphids,Egg,Corn,Iowa,High
2023-12-21,Armyworms,Larva,Rice,Iowa,High
2023-12-21,Corn Rootworm,Adult,Corn,Iowa,Low
2023-12-22,Armyworms,Egg,Corn,California,Medium
2023-12-22,Japanese Beetle,Egg,Corn,Nebraska,High
2023-12-23,Cutworms,Pupa,Cotton,California,High
2023-12-24,Aphids,Pupa,Wheat,Illinois,Medium
2023-12-24,Armyworms,Pupa,Corn,California,Medium
2023-12-24,Armyworms,Larva,Cotton,Texas,Medium
2023-12-25,Aphids,Egg,Soybeans,Illinois,Low
2023-12-25,Corn Rootworm,Adult,Cotton,Illinois,Low
2023-12-25,Cutworms,Pupa,Cotton,California,High
2023-12-26,Cutworms,Pupa,Cotton,Texas,High
2023-12-26,Corn Rootworm,Adult,Rice,California,Low
2023-12-26,Corn Rootworm,Egg,Wheat,Illinois,High
2023-12-26,Corn Rootworm,Adult,Rice,Texas,Medium
2023-12-27,Cutworms,Larva,Wheat,Illinois,Medium
2023-12-27,Armyworms,Adult,Cotton,California,Medium
2023-12-27,Cutworms,Adult,Soybeans,California,Medium
2023-12-28,Cutworms,Larva,Rice,California,Low
2023-12-28,Aphids,Adult,Rice,Iowa,High
2023-12-28,Corn Rootworm,Egg,Cotton,Iowa,High
2023-12-28,Aphids,Larva,Cotton,California,Medium
2023-12-28,Corn Rootworm,Egg,Corn,Texas,Low
2023-12-29,Japanese Beetle,Adult,Corn,Texas,Low
2023-12-29,Aphids,Adult,Rice,Iowa,Low
2023-12-30,Armyworms,Adult,Soybeans,Illinois,High
2023-12-30,Armyworms,Larva,Corn,California,Low
2023-12-30,Cutworms,Egg,Wheat,Texas,High
